Tweet	Offensive	Targeted	Target
@keyboardriot La ancom, salariile sunt mai mari decât la romatsa	NOT	NULL	NULL
„Din culisele cinematografiei“. Cum a scăpat actorul Constantin Codrescu de teroarea Securităţii...	NOT	NULL	NULL
Ludovic*, în plm.	NOT	NULL	NULL
@piticu21 Clarvazatorule!	NOT	NULL	NULL
@stirbei Sa trăiești. La mine, la țară, la Teleorman, nu cresteau cocoși, decat cocoși. Uite asa ne-am facut noi mari cu saramura cu cotoi de cocoș.	NOT	NULL	NULL
Imaginati-va că azi ar fi ca Ministru al Sănătății Eugen Nicolăescu in locul lui Victor Costache. Coșmar!	NOT	NULL	NULL
Dacă cineva pune o întrebare cu două variante iar răspunsul tău e o a treia variantă, continuă-ți drumul, în tăcere.	NOT	NULL	NULL
@LTeglas Eu am doar ceva cu cei care ii ridica in slavi pe chinezi. Parca au complexul Stockholm. Normal ca e ok de oriunde ar veni vaccinul.	NOT	NULL	NULL
Lazio a marit oferta pentru Ianis Hagi: "Transferul e pe ultima suta de metri"	NOT	NULL	NULL
Șefa UPU de la Spitalul de pediatrie din Iași poartă masca ca un fund, respectiv sub nas.	NOT	NULL	NULL
@b0bsacaman0 @stefanheisu12 @AndreiCismaru La filmul ăla despre un meci de fotbal într-o cupă europeana, o echipa englezească (cred că Arsenal) și una din Spania (o fi Sevilla?) au făcut amestec de zeci de mii de suporteri înghesuiți ca la orice meci. Zece pe centimetru pătrat. Scuze, nu mai știu meciul recent.	NOT	NULL	NULL
Documente false descoperite la controlul de frontieră #politiadefrontiera via @FrontieraRO	NOT	NULL	NULL
@vlad_nicoara @clotilde_armand Eu daca acuma fac o masina si testez farurile tu imi zici ca nu-i buna ca nu are motor. Romanian logic in a nutshell.	NOT	NULL	NULL
@keyboardriot @ZoliBara Sper că nu e fake news	NOT	NULL	NULL
@ingerisidemoni Idem ... dar lumea vrea sa fie mințita , din păcate .. dacă i spui la unu ești urat și prost sa vezi ce repede face bot, la fel si in cazul in care ai spui la unu ca e incompetent sau ( la cele care ți place ție ) dacă i spun la una ca pute ...	NOT	NULL	NULL
